WKT,name,description
"POINT (-8.3992663 41.5556929)",Meliá,
"POINT (-8.4072979 41.557563)",Braga Parque,
"POINT (-8.432434 41.5436167)",Rotunda Santos da Cunha,
"POINT (-8.4336238 41.5488151)",Estação de comboios,
"POINT (-8.4022779 41.5416698)",Centro comercial Minho Center,
"POINT (-8.4201942 41.5465807)",Avenida da Liberdade,
"POINT (-8.437027 41.5351848)",Bosh,
"POINT (-8.4285616 41.5498311)",Sé de Braga,
"POINT (-8.417844 41.5278372)",Hospital Privado de Braga,
"POINT (-8.4462021 41.5593592)",Real Taberna,
